name_to,average_speed,coordinates,order,tramo_from_lat,tramo_from_long,tramo_to_lat,tramo_to_long,color,corridor,orientation
KR128;KR123,26.59339314,"(array([  4.68986451, -74.16369079]), array([  4.68687049, -74.15974258]))",1,4.68986451,-74.16369079,4.686870487,-74.15974258,#fdae61,cll13,west_east
KR123;KR106,35.18282791,"(array([  4.68671634, -74.15966864]), array([  4.67397289, -74.15294032]))",2,4.686716341,-74.15966864,4.673972886,-74.15294032,#1a9850,cll13,west_east
KR106;KR97,32.7010288,"(array([  4.673885  , -74.15295172]), array([  4.66680476, -74.14872456]))",3,4.673885002,-74.15295172,4.666804758,-74.14872456,#a6d96a,cll13,west_east
KR97;KR90,38.11873697,"(array([  4.66673124, -74.14853144]), array([  4.66322384, -74.13958359]))",4,4.666731242,-74.14853144,4.663223842,-74.13958359,#1a9850,cll13,west_east
KR90;KR68D,35.72922236,"(array([  4.66312102, -74.13948654]), array([  4.64000702, -74.12230967]))",5,4.663121019,-74.13948654,4.640007023,-74.12230967,#1a9850,cll13,west_east
KR68D;KR68,25.59720004,"(array([  4.63984662, -74.12215411]), array([  4.63734429, -74.11861359]))",6,4.639846617,-74.12215411,4.637344293,-74.11861359,#fdae61,cll13,west_east
KR68;KR65,31.87792221,"(array([  4.63718389, -74.11819114]), array([  4.63459066, -74.11501004]))",7,4.637183887,-74.11819114,4.634590656,-74.11501004,#a6d96a,cll13,west_east
KR65;KR56,27.48690733,"(array([  4.63434203, -74.1147673 ]), array([  4.63028908, -74.1104114 ]))",8,4.634342026,-74.1147673,4.63028908,-74.1104114,#fdae61,cll13,west_east
KR56;KR47,36.7605517,"(array([  4.63006451, -74.11038725]), array([  4.62517207, -74.10436838]))",9,4.630064509,-74.11038725,4.625172068,-74.10436838,#1a9850,cll13,west_east
KR47;KR39,30.10621308,"(array([  4.6251079 , -74.10428255]), array([  4.62093727, -74.09968524]))",10,4.625107905,-74.10428255,4.620937272,-74.09968524,#a6d96a,cll13,west_east
KR39;KR33,31.7383388,"(array([  4.62085707, -74.09959136]), array([  4.61640302, -74.0945649 ]))",11,4.620857067,-74.09959136,4.616403017,-74.0945649,#a6d96a,cll13,west_east
KR33;KR27,27.99562818,"(array([  4.61637628, -74.09449517]), array([  4.61190616, -74.08945261]))",12,4.616376282,-74.09449517,4.611906163,-74.08945261,#fdae61,cll13,west_east
KR27;KR22,38.03989807,"(array([  4.61183932, -74.08936142]), array([  4.6097112 , -74.08700107]))",13,4.611839325,-74.08936142,4.609711196,-74.08700107,#1a9850,cll13,west_east
KR22;AV.CARACAS,21.06194383,"(array([  4.60972189, -74.08690452]), array([  4.60366899, -74.07999514]))",14,4.60972189,-74.08690452,4.603668986,-74.07999515,#d73027,cll13,west_east
AV.CARACAS;KR22,21.24906594,"(array([  4.60386148, -74.07990931]), array([  4.60986091, -74.08670067]))",1,4.603861482,-74.07990931,4.609860914,-74.08670067,#d73027,cll13,east_west
KR22;KR27,27.39291806,"(array([  4.61001063, -74.08688306]), array([  4.61201043, -74.08914684]))",2,4.610010632,-74.08688306,4.612010431,-74.08914684,#fdae61,cll13,east_west
