,corridor,direction,month,weekday,hour,pctge_c2g_mean,pctge_c2p_mean,pctge_tractocamiones_mean
0,CL13,0,1,Friday,0,0.0,70.75,29.25
1,CL13,0,1,Friday,1,6.0,59.0,35.0
2,CL13,0,1,Friday,2,0.0,61.25,38.75
3,CL13,0,1,Friday,3,0.0,74.0,26.0
4,CL13,0,1,Friday,4,1.7500000000000002,63.25,35.0
5,CL13,0,1,Friday,5,0.0,87.25,12.75
6,CL13,0,1,Friday,6,1.5,75.5,23.0
7,CL13,0,1,Friday,7,0.0,77.75,22.25
8,CL13,0,1,Friday,8,3.5,67.0,29.25
9,CL13,0,1,Friday,9,2.0,68.75,29.25
10,CL13,0,1,Friday,10,2.0,70.25,27.75
11,CL13,0,1,Friday,11,8.0,67.5,24.75
12,CL13,0,1,Friday,12,4.0,70.75,24.75
13,CL13,0,1,Friday,13,1.75,78.0,20.25
14,CL13,0,1,Friday,14,0.0,72.0,28.0
15,CL13,0,1,Friday,15,0.0,75.5,24.5
16,CL13,0,1,Friday,16,7.25,71.25,21.25
17,CL13,0,1,Friday,17,2.5,63.5,34.0
18,CL13,0,1,Friday,18,7.0,64.75,28.25
19,CL13,0,1,Friday,19,4.75,67.25,28.0
20,CL13,0,1,Friday,20,3.75,62.5,33.75
21,CL13,0,1,Friday,21,8.75,49.25,42.0
22,CL13,0,1,Friday,22,0.0,54.75,45.25
23,CL13,0,1,Friday,23,3.25,52.5,44.25
24,CL13,0,1,Monday,0,0.0,91.66666666666667,8.333333333333334
25,CL13,0,1,Monday,1,0.0,50.666666666666664,49.333333333333336
26,CL13,0,1,Monday,2,0.0,66.66666666666667,33.333333333333336
27,CL13,0,1,Monday,3,0.0,89.0,11.0
28,CL13,0,1,Monday,4,0.0,66.0,34.0
29,CL13,0,1,Monday,5,0.0,90.75,9.25
30,CL13,0,1,Monday,6,15.666666666666666,57.0,26.666666666666668
31,CL13,0,1,Monday,7,2.0,84.5,13.5
32,CL13,0,1,Monday,8,2.75,77.0,20.25
33,CL13,0,1,Monday,9,3.0,79.25,17.75
34,CL13,0,1,Monday,10,1.0,65.25,34.0
35,CL13,0,1,Monday,11,7.75,69.75,22.75
36,CL13,0,1,Monday,12,2.5,71.75,26.0
37,CL13,0,1,Monday,13,7.0,67.75,25.25
38,CL13,0,1,Monday,14,3.0,77.5,19.5
39,CL13,0,1,Monday,15,2.75,61.75,35.25
40,CL13,0,1,Monday,16,4.0,79.75,15.75
41,CL13,0,1,Monday,17,1.5,62.0,36.5
42,CL13,0,1,Monday,18,4.333333333333333,60.333333333333336,35.333333333333336
43,CL13,0,1,Monday,19,3.0,60.333333333333336,37.0
44,CL13,0,1,Monday,20,1.0,80.0,19.0
45,CL13,0,1,Monday,21,18.25,35.25,46.75
46,CL13,0,1,Monday,22,1.7500000000000002,60.75,37.5
47,CL13,0,1,Monday,23,0.0,75.66666666666667,24.333333333333332
48,CL13,0,1,Saturday,0,0.0,69.75,30.25
49,CL13,0,1,Saturday,1,2.0,67.75,30.25
50,CL13,0,1,Saturday,2,0.0,86.75,13.25
51,CL13,0,1,Saturday,3,0.0,69.75,30.25
52,CL13,0,1,Saturday,4,0.0,74.25,25.75
53,CL13,0,1,Saturday,5,0.0,76.75,23.25
54,CL13,0,1,Saturday,6,5.0,69.0,26.0
55,CL13,0,1,Saturday,7,4.0,73.75,22.5
56,CL13,0,1,Saturday,8,4.25,72.75,23.0
57,CL13,0,1,Saturday,9,1.75,68.0,30.25
58,CL13,0,1,Saturday,10,4.5,71.0,24.5
59,CL13,0,1,Saturday,11,7.5,60.5,32.0
60,CL13,0,1,Saturday,12,3.75,67.75,28.25
61,CL13,0,1,Saturday,13,3.0,71.25,25.5
62,CL13,0,1,Saturday,14,1.7500000000000002,73.75,24.5
63,CL13,0,1,Saturday,15,3.0,77.0,19.75
64,CL13,0,1,Saturday,16,5.0,66.0,29.25
65,CL13,0,1,Saturday,17,0.0,74.25,25.75
66,CL13,0,1,Saturday,18,3.75,60.25,36.0
67,CL13,0,1,Saturday,19,1.7500000000000002,66.75,31.5
68,CL13,0,1,Saturday,20,1.25,85.25,13.5
69,CL13,0,1,Saturday,21,11.0,52.5,36.5
70,CL13,0,1,Saturday,22,9.75,45.5,44.75
71,CL13,0,1,Saturday,23,0.0,37.666666666666664,62.333333333333336
72,CL13,0,1,Sunday,0,0.0,20.0,80.0
73,CL13,0,1,Sunday,1,0.0,66.66666666666667,33.333333333333336
74,CL13,0,1,Sunday,2,0.0,87.5,12.5
75,CL13,0,1,Sunday,3,0.0,46.0,54.0
76,CL13,0,1,Sunday,4,0.0,50.0,50.0
77,CL13,0,1,Sunday,5,0.0,71.0,29.0
78,CL13,0,1,Sunday,6,0.0,41.75,58.25
79,CL13,0,1,Sunday,7,8.25,91.75,0.0
80,CL13,0,1,Sunday,8,0.0,62.75,37.25
81,CL13,0,1,Sunday,9,3.0,58.25,38.5
82,CL13,0,1,Sunday,10,0.0,73.0,27.0
83,CL13,0,1,Sunday,11,0.0,56.25,43.75
84,CL13,0,1,Sunday,12,0.0,76.25,23.75
85,CL13,0,1,Sunday,13,0.0,86.5,13.5
86,CL13,0,1,Sunday,14,2.5,87.5,10.0
87,CL13,0,1,Sunday,15,0.0,65.75,34.25
88,CL13,0,1,Sunday,16,0.0,75.0,25.0
89,CL13,0,1,Sunday,17,0.0,68.0,32.0
90,CL13,0,1,Sunday,18,0.0,45.75,54.25
91,CL13,0,1,Sunday,19,0.0,83.33333333333333,16.666666666666668
92,CL13,0,1,Sunday,20,5.0,69.25,25.75
93,CL13,0,1,Sunday,21,0.0,83.33333333333333,16.666666666666668
94,CL13,0,1,Sunday,22,0.0,43.75,56.25
95,CL13,0,1,Sunday,23,0.0,87.5,12.5
96,CL13,0,1,Thursday,0,0.0,75.0,25.0
97,CL13,0,1,Thursday,1,1.0,60.8,38.2
98,CL13,0,1,Thursday,2,0.0,73.4,26.6
99,CL13,0,1,Thursday,3,4.0,51.2,44.8
100,CL13,0,1,Thursday,4,0.0,72.8,27.2
101,CL13,0,1,Thursday,5,1.8,82.2,16.0
102,CL13,0,1,Thursday,6,0.0,77.6,22.4
103,CL13,0,1,Thursday,7,2.8000000000000003,71.4,25.8
104,CL13,0,1,Thursday,8,2.2,66.6,31.4
105,CL13,0,1,Thursday,9,2.2,67.2,30.6
106,CL13,0,1,Thursday,10,3.8,72.6,23.6
107,CL13,0,1,Thursday,11,12.2,55.4,32.0
108,CL13,0,1,Thursday,12,3.4,67.2,29.4
109,CL13,0,1,Thursday,13,0.8,75.4,23.8
110,CL13,0,1,Thursday,14,4.0,70.8,25.2
111,CL13,0,1,Thursday,15,1.0,71.0,28.2
112,CL13,0,1,Thursday,16,4.8,69.2,26.2
113,CL13,0,1,Thursday,17,2.0,68.0,30.0
114,CL13,0,1,Thursday,18,3.6,68.0,28.6
115,CL13,0,1,Thursday,19,3.6,60.8,35.6
116,CL13,0,1,Thursday,20,9.6,63.0,27.2
117,CL13,0,1,Thursday,21,5.0,55.2,39.6
118,CL13,0,1,Thursday,22,2.0,61.4,36.6
119,CL13,0,1,Thursday,23,5.4,68.2,26.4
120,CL13,0,1,Tuesday,0,0.0,61.6,38.4
121,CL13,0,1,Tuesday,1,4.0,48.0,47.6
122,CL13,0,1,Tuesday,2,6.6,54.2,39.2
123,CL13,0,1,Tuesday,3,0.0,81.25,18.75
124,CL13,0,1,Tuesday,4,0.0,78.5,21.5
125,CL13,0,1,Tuesday,5,1.6,89.0,9.2
126,CL13,0,1,Tuesday,6,0.0,81.0,19.0
127,CL13,0,1,Tuesday,7,0.0,75.6,24.4
128,CL13,0,1,Tuesday,8,3.0,75.25,21.75
129,CL13,0,1,Tuesday,9,2.4,79.0,18.8
130,CL13,0,1,Tuesday,10,2.4,71.6,26.2
131,CL13,0,1,Tuesday,11,8.4,64.8,27.2
132,CL13,0,1,Tuesday,12,2.6,77.6,20.4
133,CL13,0,1,Tuesday,13,1.2,69.0,29.8
134,CL13,0,1,Tuesday,14,4.4,75.2,20.4
135,CL13,0,1,Tuesday,15,2.2,71.6,26.2
136,CL13,0,1,Tuesday,16,8.75,65.5,25.75
137,CL13,0,1,Tuesday,17,1.5,74.25,24.25
138,CL13,0,1,Tuesday,18,0.0,79.8,20.2
139,CL13,0,1,Tuesday,19,3.25,64.25,32.25
140,CL13,0,1,Tuesday,20,1.5,69.75,28.5
141,CL13,0,1,Tuesday,21,10.0,51.0,38.75
142,CL13,0,1,Tuesday,22,2.0,54.75,43.0
143,CL13,0,1,Tuesday,23,2.0,68.0,30.0
144,CL13,0,1,Wednesday,0,0.0,43.75,56.25
145,CL13,0,1,Wednesday,1,5.2,69.8,25.0
146,CL13,0,1,Wednesday,2,0.0,76.4,23.6
147,CL13,0,1,Wednesday,3,0.0,83.2,16.8
148,CL13,0,1,Wednesday,4,0.0,51.2,48.8
149,CL13,0,1,Wednesday,5,3.8,90.6,5.6
150,CL13,0,1,Wednesday,6,0.0,57.6,42.4
151,CL13,0,1,Wednesday,7,3.8,81.2,15.2
152,CL13,0,1,Wednesday,8,0.8,76.0,23.2
153,CL13,0,1,Wednesday,9,4.8,68.8,26.4
154,CL13,0,1,Wednesday,10,3.4,70.2,26.4
155,CL13,0,1,Wednesday,11,7.8,56.6,35.6
156,CL13,0,1,Wednesday,12,2.0,68.8,29.4
157,CL13,0,1,Wednesday,13,2.6,69.2,28.0
158,CL13,0,1,Wednesday,14,3.2,66.2,30.8
159,CL13,0,1,Wednesday,15,2.6,64.4,32.6
160,CL13,0,1,Wednesday,16,6.8,67.8,25.4
161,CL13,0,1,Wednesday,17,6.2,69.2,24.2
162,CL13,0,1,Wednesday,18,2.8,64.6,32.4
163,CL13,0,1,Wednesday,19,4.8,56.0,39.2
164,CL13,0,1,Wednesday,20,0.0,69.8,30.2
165,CL13,0,1,Wednesday,21,6.2,48.8,45.0
166,CL13,0,1,Wednesday,22,0.0,56.6,43.4
167,CL13,0,1,Wednesday,23,4.6,51.2,44.2
168,CL13,0,2,Friday,0,0.0,72.5,27.5
169,CL13,0,2,Friday,1,0.0,68.0,32.0
170,CL13,0,2,Friday,2,0.0,63.75,36.25
171,CL13,0,2,Friday,3,0.0,76.0,24.0
172,CL13,0,2,Friday,4,2.5,56.25,41.25
173,CL13,0,2,Friday,5,0.0,76.0,24.0
174,CL13,0,2,Friday,6,0.0,74.75,25.25
175,CL13,0,2,Friday,7,0.0,78.5,21.5
176,CL13,0,2,Friday,8,1.0,76.75,22.25
177,CL13,0,2,Friday,9,3.5,78.75,17.5
178,CL13,0,2,Friday,10,2.25,74.75,22.75
179,CL13,0,2,Friday,11,9.75,54.75,35.5
180,CL13,0,2,Friday,12,5.0,67.0,28.5
181,CL13,0,2,Friday,13,3.25,73.25,23.75
182,CL13,0,2,Friday,14,3.0,68.25,29.0
183,CL13,0,2,Friday,15,0.0,69.5,30.5
184,CL13,0,2,Friday,16,5.0,66.5,28.5
185,CL13,0,2,Friday,17,1.0,74.75,24.25
186,CL13,0,2,Friday,18,3.75,72.75,23.75
187,CL13,0,2,Friday,19,2.25,58.25,39.5
188,CL13,0,2,Friday,20,4.25,59.0,36.75
189,CL13,0,2,Friday,21,8.75,56.75,34.75
190,CL13,0,2,Friday,22,3.25,60.25,36.5
191,CL13,0,2,Friday,23,5.25,56.25,38.5
192,CL13,0,2,Monday,0,0.0,66.5,33.5
193,CL13,0,2,Monday,1,13.333333333333334,70.0,16.666666666666668
194,CL13,0,2,Monday,2,0.0,85.0,15.0
195,CL13,0,2,Monday,3,0.0,87.25,12.75
196,CL13,0,2,Monday,4,0.0,66.5,33.5
197,CL13,0,2,Monday,5,0.0,88.75,11.25
