,Commodity category,Bogotá,corridor,Number of travels transported
0,VARIOUS PRODUCTS, In,CALLE 13,118540
2,MANUFACTURES, In,CALLE 13,94708
3,VARIOUS PRODUCTS, Out,CALLE 13,79032
6,FOOD, In,CALLE 13,58147
7,VARIOUS PRODUCTS, Out,CALLE 80,53660
9,MANUFACTURES, Out,CALLE 13,51410
12,PAPER, In,CALLE 80,44968
15,CHEMICALS, In,CALLE 13,42742
16,MANUFACTURES, In,CALLE 80,42090
17,PLASTIC AND POLYMER, In,CALLE 13,41946
20,MANUFACTURES, Out,CALLE 80,36309
21,PACKAGE, Out,CALLE 13,36048
23,PACKAGE, In,CALLE 13,35109
27,CONSTRUCTION, In,CALLE 13,32228
28,PAPER, In,CALLE 13,31426
29,VARIOUS PRODUCTS, In,CALLE 80,30423
31,FUELS, In,CALLE 13,28424
34,PACKAGE, In,CALLE 80,27735
35,FOOD, Out,CALLE 13,27351
39,PAPER, Out,CALLE 13,23653
40,PACKAGE, Out,CALLE 80,23528
41,FOOD, In,CALLE 80,23263
46,PAPER, Out,CALLE 80,20514
49,CHEMICALS, In,CALLE 80,19745
52,PLASTIC AND POLYMER, Out,CALLE 13,17853
54,PLASTIC AND POLYMER, Out,CALLE 80,15585
55,CHEMICALS, Out,CALLE 13,15385
58,EMPTY CONTEINER, Out,CALLE 13,14025
64,FOOD, Out,CALLE 80,12358
66,CHEMICALS, Out,CALLE 80,11332
70,MINNING, In,CALLE 13,10430
73,CONSTRUCTION, Out,CALLE 13,9238
79,DRINKS, In,CALLE 13,7964
82,PLASTIC AND POLYMER, In,CALLE 80,7557
84,DRINKS, Out,CALLE 13,6260
85,TEXTILES, In,CALLE 80,5467
89,OTHERS, In,CALLE 13,4941
90,TEXTILES, Out,CALLE 80,4880
91,TEXTILES, In,CALLE 13,4801
93,CONSTRUCTION, In,CALLE 80,4726
95,MINNING, Out,CALLE 13,4153
97,TEXTILES, Out,CALLE 13,3678
98,DRINKS, Out,CALLE 80,3498
99,OTHERS, Out,CALLE 13,3440
103,CONSTRUCTION, Out,CALLE 80,3270
104,EMPTY CONTEINER, In,CALLE 13,3252
105,MINNING, In,CALLE 80,3211
112,EMPTY CONTEINER, Out,CALLE 80,2867
113,MINNING, Out,CALLE 80,2788
114,OTHERS, In,CALLE 80,2747
120,DRINKS, In,CALLE 80,2109
121,FUELS, Out,CALLE 13,1962
125,OTHERS, Out,CALLE 80,1856
127,EMPTY CONTEINER, In,CALLE 80,1771
129,FUELS, Out,CALLE 80,1709
147,FUELS, In,CALLE 80,285
