,Commodity category,Setting,corridor,Number of travels transported
0,VARIOUS PRODUCTS,C2P,CALLE 13,143461
2,MANUFACTURES,C2P,CALLE 13,91357
5,VARIOUS PRODUCTS,C2P,CALLE 80,66331
6,MANUFACTURES,C2P,CALLE 80,60594
7,MANUFACTURES,TRACTOCAMIONES,CALLE 13,54210
8,VARIOUS PRODUCTS,TRACTOCAMIONES,CALLE 13,51416
11,PACKAGE,C2P,CALLE 13,48646
12,FOOD,C2P,CALLE 13,43336
15,FOOD,TRACTOCAMIONES,CALLE 13,40115
18,PAPER,C2P,CALLE 80,37700
20,PLASTIC AND POLYMER,C2P,CALLE 13,33876
23,PACKAGE,C2P,CALLE 80,33308
24,CHEMICALS,C2P,CALLE 13,30823
27,PAPER,C2P,CALLE 13,27976
28,PAPER,TRACTOCAMIONES,CALLE 80,27451
30,PAPER,TRACTOCAMIONES,CALLE 13,26847
33,PLASTIC AND POLYMER,TRACTOCAMIONES,CALLE 13,25168
34,CHEMICALS,TRACTOCAMIONES,CALLE 13,25023
35,FUELS,TRACTOCAMIONES,CALLE 13,24499
38,CONSTRUCTION,C2P,CALLE 13,24170
39,FOOD,C2P,CALLE 80,23923
41,PLASTIC AND POLYMER,C2P,CALLE 80,21602
46,PACKAGE,TRACTOCAMIONES,CALLE 13,19463
47,CHEMICALS,C2P,CALLE 80,19032
50,MANUFACTURES,TRACTOCAMIONES,CALLE 80,16882
51,VARIOUS PRODUCTS,TRACTOCAMIONES,CALLE 80,16346
53,PACKAGE,TRACTOCAMIONES,CALLE 80,15678
56,CONSTRUCTION,TRACTOCAMIONES,CALLE 13,13817
62,EMPTY CONTEINER,TRACTOCAMIONES,CALLE 13,12049
65,CHEMICALS,TRACTOCAMIONES,CALLE 80,11418
66,MINNING,TRACTOCAMIONES,CALLE 13,11043
71,FOOD,TRACTOCAMIONES,CALLE 80,10197
74,TEXTILES,C2P,CALLE 80,9188
80,DRINKS,TRACTOCAMIONES,CALLE 13,7504
81,OTHERS,C2P,CALLE 13,7241
83,DRINKS,C2P,CALLE 13,6643
89,EMPTY CONTEINER,C2P,CALLE 13,5183
90,TEXTILES,TRACTOCAMIONES,CALLE 13,5060
96,OTHERS,C2P,CALLE 80,4274
97,CONSTRUCTION,C2P,CALLE 80,4222
100,FUELS,C2G,CALLE 13,3787
101,EMPTY CONTEINER,C2P,CALLE 80,3771
102,CONSTRUCTION,C2G,CALLE 13,3479
103,MINNING,C2P,CALLE 80,3478
104,MINNING,C2P,CALLE 13,3422
105,TEXTILES,C2P,CALLE 13,3403
107,DRINKS,TRACTOCAMIONES,CALLE 80,3333
110,PACKAGE,C2G,CALLE 13,3048
116,VARIOUS PRODUCTS,C2G,CALLE 13,2686
118,CONSTRUCTION,TRACTOCAMIONES,CALLE 80,2443
120,MINNING,TRACTOCAMIONES,CALLE 80,2367
122,CHEMICALS,C2G,CALLE 13,2281
123,PACKAGE,C2G,CALLE 80,2277
125,DRINKS,C2P,CALLE 80,2220
127,FUELS,C2P,CALLE 13,2100
129,FOOD,C2G,CALLE 13,2047
139,FOOD,C2G,CALLE 80,1501
141,VARIOUS PRODUCTS,C2G,CALLE 80,1404
142,CONSTRUCTION,C2G,CALLE 80,1331
144,PLASTIC AND POLYMER,TRACTOCAMIONES,CALLE 80,1297
146,FUELS,TRACTOCAMIONES,CALLE 80,1166
147,OTHERS,TRACTOCAMIONES,CALLE 13,1116
149,TEXTILES,TRACTOCAMIONES,CALLE 80,1109
156,MANUFACTURES,C2G,CALLE 80,923
159,EMPTY CONTEINER,TRACTOCAMIONES,CALLE 80,847
162,PLASTIC AND POLYMER,C2G,CALLE 13,755
164,FUELS,C2P,CALLE 80,665
166,CHEMICALS,C2G,CALLE 80,627
172,MANUFACTURES,C2G,CALLE 13,551
185,PAPER,C2G,CALLE 80,331
190,OTHERS,TRACTOCAMIONES,CALLE 80,313
192,PAPER,C2G,CALLE 13,256
193,PLASTIC AND POLYMER,C2G,CALLE 80,243
195,FUELS,C2G,CALLE 80,163
197,MINNING,C2G,CALLE 80,154
206,MINNING,C2G,CALLE 13,118
216,DRINKS,C2G,CALLE 13,77
222,DRINKS,C2G,CALLE 80,54
224,TEXTILES,C2G,CALLE 80,50
228,EMPTY CONTEINER,C2G,CALLE 13,45
238,OTHERS,C2G,CALLE 13,24
242,EMPTY CONTEINER,C2G,CALLE 80,20
244,TEXTILES,C2G,CALLE 13,16
245,OTHERS,C2G,CALLE 80,16
